ESPN Futures Name,ESPN Schedule Name,Acronym,Conference,Helmet URL,Helmet Image,ESPN Power Index Team Name,CFD Name,,https://collegefootballdata.com/
,Wisconsin-Eau Claire,Wisconsin-Eau Claire,Wisconsin,,,,,,
,Wisconsin-Lacrosse,Wisconsin-Lacrosse,Wisconsin,,,,,,
,Wisconsin-Oshkosh,Wisconsin-Oshkosh,Wisconsin,,,,,,
,Wisconsin-Platteville,Wisconsin-Platteville,Wisconsin,,,,,,
,Wisconsin-River Falls,Wisconsin-River Falls,Wisconsin,,,,,,
,Wisconsin-Stevens Pt,Wisconsin-Stevens Pt,Wisconsin,,,,,,
,Wisconsin-Stout,Wisconsin-Stout,Wisconsin,,,,,,
,Wisconsin-Whitewater,Wisconsin-Whitewater,Wisconsin,,,,,,
,Ave Maria University,Ave Maria University,,,,,,,
,Bethel University Tennessee,Bethel University Tennessee,,,,,,,
,Campbellsville University,Campbellsville University,,,,,,,
,College of Idaho,College of Idaho,,,,,,,
,Concordia-Michigan,Concordia-Michigan,,,,,,,
,Dakota State University,Dakota State University,,,,,,,
,Dickinson State University,Dickinson State University,,,,,,,
,Eastern Oregon,Eastern Oregon,,,,,,,
,Elgin,Elgin,,,,,,,
,Florida Memorial University,Florida Memorial University,,,,,,,
,Georgetown College Kentucky,Georgetown College Kentucky,,,,,,,
,Indiana Wesleyan,Indiana Wesleyan,,,,,,,
,Jamestown College,Jamestown College,,,,,,,
,Keiser (Fl),Keiser (Fl),,,,,,,
,Keiser University,Keiser University,,,,,,,
,Kentucky Christian,Kentucky Christian,,,,,Kentucky Christian,,
,Langston University,Langston University,,,,,,,
,Laurinburg,Laurinburg,,,,,,,
,Little Rock,Little Rock,,,,,Little Rock,,
,Louisiana College,Louisiana College,,,,,Louisiana College,,
,Madonna University,Madonna University,,,,,,,
,Madonna University (Mich.),Madonna University (Mich.),,,,,,,
,Mayville State,Mayville State,,,,,,,
,Montana-Western,Montana-Western,,,,,,,
,North American University,North American University,,,,,,,
,Phoenix,Phoenix,,,,,,,
,Point University,Point University,,,,,,,
,Reinhardt University,Reinhardt University,,,,,,,
,Simpson University (Ca),Simpson University (Ca),,,,,,,
,Southern Oregon,Southern Oregon,,,,,,,
,Southwestern Assemblies Of God,Southwestern Assemblies Of God,,,,,,,
,St. Xavier IL,St. Xavier IL,,,,,,,
,Taylor,Taylor,,,,,,,
,University Of St Francis IN,University Of St Francis IN,,,,,,,
,Valley City State,Valley City State,,,,,,,
,Virginia University Of Lynchburg,Virginia University Of Lynchburg,,,,,Virginia University Of Lynchburg,,
,Warner University,Warner University,,,,,Warner University,,
,Wayland Baptist,Wayland Baptist,,,,,,,
,Webber International,Webber International,,,,,Webber International,,
,William Woods,William Woods,,,,,,,
Hawai'i Rainbow WarriorsHAW,Hawai'i,HAW,MW,http://www.nationalchamps.net/Helmet_Project/Hawaii_G.gif,,,Hawai'i,,
